id,commentText,Labels
UgxRMpRAl1YCPQ-KbFd4AaABAg,V nice,3
UgzLLw3RD3f1tdh6fd14AaABAg,"Thank you Ma, trying your parathas today :) once I succeed I'll reply to my post!",1
UgzUUQN_HuANvof5avp4AaABAg,So tasty and you are also so sweet aunty,5
UgwvMLvpBE_x0N4YOKV4AaABAg,Superb mam,3
UgwlIssKV6KJsLrF-ut4AaABAg,Badhia mam...Apka express karne ka tarikese...Kavi bour Nehi Hoti...Ap bahat ache ho mam..Pyarse patience ke saath samjhati he...,4
UgwaCZXwjRwYLzwGMn14AaABAg,Wow thanks u,5
Ugx-aN7iivLCZAojfYZ4AaABAg,Very good tastie bhi healthy bhi,2
UgwSvyOOhX1vp-SF-bp4AaABAg,Mai KAL banaungi aaloo ke parathe,6
UgyC6lqcrI89h9NWNbN4AaABAg,Muje bas aap pasand ho..,4
Ugz_8Z80ZbiQWNKuYHJ4AaABAg,"really so,tasty.. ðŸ˜˜",2
Ugxtrsov7e0OaQQ-iPN4AaABAg,really lovely,3
UgxZsvxhlQvtJfwj9514AaABAg,Apko dekh k ma ki yad aa jati h,4
UgyOIvV9ayIqz25ZkTB4AaABAg,Nice recipe mam love you,2
UgwmMI6lHO_SscvdgDp4AaABAg,nice,3
Ugw0hmdhaGfd-PekwgB4AaABAg,Happy new year aanti,6
UgwIJS3Ts0yip1ICjPZ4AaABAg,"Madam... We shall not pour the oil first in the pan. Because if we put parantha over the oil, it will splash.",6
UgxMsQAx1cujgFYcdah4AaABAg,Wahi! Yammy yammy,2
UgydjpiVZQq85iIGinB4AaABAg,Tsty parathaparathðŸ˜‹ðŸ˜‹,2
UgyXnxm4n7MHdbDKqkV4AaABAg,Nice yummy....,2
UgyEVYoQYGpmP5i7App4AaABAg,thank you so much,1
UgzGNfXTTZKiRjZIGIZ4AaABAg,Wow,3
Ugzk-JJRQY3k0W0TvuF4AaABAg,This is amazing  I tried it tasty,2
UgzjzZg50DC-IVIHWmJ4AaABAg,Yummy,2
UgyyadYgM_eWbp6c2Mp4AaABAg,Nice,3
UgzsAjSKYiTzZ2Y2VdB4AaABAg,Bot ganda,6
UgwKViV5am3-o4TDlGB4AaABAg,Kya  Partha,6
UgyvDFc1M7GFwZZgR_J4AaABAg,Very niceðŸŒ¶ï¸ðŸ‘Œ,3
UgyK6fPT9yb8TX-0p1B4AaABAg,Apki awaj jaan nikal leti  bahut khub samghati h cute,4
Ugw0y0hfaCYZmsCPoht4AaABAg,Nisha Madhulika top women,4
UgzDrI_Tw7Ft4-trye14AaABAg,Wwoooww,3
Ugy46xdXbaX_SRdaHjl4AaABAg,Aunty you are too good and very talented ðŸŽ€ðŸ’œðŸ˜˜,4
UgxpRaI4jp7mT0L1eI54AaABAg,Nice,3
UgwnvD2OQSO6E0PZTVd4AaABAg,Thank you ! Mrs. Singh showed me how to make them when I was in Kolkata. But this is really helpful ðŸ˜„â¤ï¸â¤ï¸â¤ï¸â¤ï¸,1
UgxwF47lGyCu-Z6JuCt4AaABAg,à¤®à¥‡à¤°à¥‡ à¤¤à¥‹ à¤®à¥à¤¹ à¤®à¥‡ à¤ªà¤¾à¤¨à¥€ à¤† à¤°à¤¹à¤¾ à¤¹à¥ˆ ðŸ˜˜ðŸ˜˜ðŸ˜˜ðŸ˜˜ðŸ˜˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ so easy recipe i trying to home thank you ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘,5
UgxN4L2Wgik-faWZ3VJ4AaABAg,nice ðŸ‘,3
Ugx26Tcqjh_zuucf6iV4AaABAg,Lovely Paratha by lovely woman! Love from Pakistan!,5
Ugww526WauwgT7REGAd4AaABAg,"Today eate paratha, my friends are from india  theyre make for me i loved",6
UgzoZBNVMwbrCo6vuAJ4AaABAg,Aapki hr recipe must rehti h,4
UgysTsr3DKsARCLFLAZ4AaABAg,Aunty  very  yummy  aloo Paratha ðŸ‘ŒðŸ‘Œâš˜,2
Ugzltkmcft09DEvgkGp4AaABAg,Mam I love the way u narrate ....your voice is very sweet n way of talking is very calm....ðŸ˜Š,4
UgzpdYc2uroH4KJiNpd4AaABAg,Very testi,2
UgwRuvWmMfE-uMkTnhp4AaABAg,Thanks mam,1
Ugx2jcr6b9o4ucs3k6J4AaABAg,so nice the way you make it Aunty,4
Ugz2nOuj7aW191UWo_B4AaABAg,Nice mam,3
UgzGF5xgjJP4Mq3NyW14AaABAg,Garlic dalte to orr bhi tasty banta,6
Ugwa6Kld0yb5RulJFaJ4AaABAg,Very testy,2
UgyNN6USuemMUbtcbcl4AaABAg,Nisha jee you r best chef ðŸ’ŸðŸ‘ðŸ‘ŒREALLY like U frm PAKISTAN ðŸ’Ÿ,4
UgyqEGZtgsLTshIWrrt4AaABAg,Tasty,2
UgwIwFexjNZFDLXq5Uh4AaABAg,Mam hamare parathe fat jate h kya kare ki fate nhi,7
UgzrP1Gd-Txwo4sA7-14AaABAg,very nice,3
Ugyd0Hgyc2eWNFrL5HJ4AaABAg,Wow it's amazing to learn parathas  recipie,6
UgzFiyOVvO3UYxswm3Z4AaABAg,aloo ke parathe mujhe bahut bahut pasand hai aap mujhe bhej do na,6
Ugzvn_72Bu-mFl3_vTt4AaABAg,Hi Nisha mam please make any paratha curry recipes. As early as possible.,6
UgzdhRamfSOuZTUNocx4AaABAg,Ma'am aloo fry krke b to parathe banate hai plz uski recipe bhi share kariye,6
UgyV5Myd5XiZW6mv_nF4AaABAg,Aunty ji khane ka man Kiya...,6
Ugy-ZlAUFYSoslXTpjB4AaABAg,Thank u..... Mam....,1
UgxrSX1dj4byfdrCTyl4AaABAg,Nice paratha sooo yummy. Explain Karne ka tharikha hohat acha he. Superb,5
UgxsVCmKbwlAjyHHjXV4AaABAg,Very very nice paratha,2
UgyWTRcBNdcCqZnu4h54AaABAg,Most welcome mam,6
UgzpjYNPxoDOlGMqo9d4AaABAg,Kuch dikh nhi raha,6
UgwrEnkACA0lGDUfmXt4AaABAg,wow mam kya aapne parthe banaye hai ðŸ‘ŒðŸ‘ŒðŸ‘ŒðŸ‘Œ,2
UgxCpkNoG5lIpxawX9B4AaABAg,Nice,3
UgwBxd_1vUGaYX-84uJ4AaABAg,Awww she seems like such a sweet lady I had to subscribed ðŸ’—,4
Ugz9eDbiy0pxnR5GoBV4AaABAg,Mam you are so intelligent and your all video is so good,5
Ugw5IdVoiRqcPZBd7Qp4AaABAg,Bohot bohot shukriya aunty jee aapka pyar se batane ka tarika bhi bohot acha hai.,5
UgzlvwhJz3YoYWuRYvV4AaABAg,Hi Nishaji..I love ur videos..n d way u explain..loads of love keep helping us in cooking variety of dishes I tried  Aloo paratha n turned out very yummy..thanks a lot,5
Ugyd2QrGnT9XDHIXhCN4AaABAg,"Pata nahi kyo Lekin jab bhi aapki video dekhta hu eaisa feel hota hai meri maa mujhe samjha Rahi hai thanks a lot 
Your voice is too attractive",5
Ugykg4E8ULwW5TOjLjV4AaABAg,Thank you aunty ðŸ˜Š,1
Ugx0I15selbHayVJM6Z4AaABAg,"Brilliant  ma;m â˜ºï¸ and
Yummy ðŸ˜‹",5
UgzJ0FJf9ldswrm4jVN4AaABAg,"Nisha ji , aap bhut acchi trhan explain karte ho . ðŸ‘ðŸ» 
Nice reciepe .",5
UgxN3OTmHtp0yRQ-AOt4AaABAg,I really like ur all videos.. Inspired by u.. And ill try most of ur recipes..love for u mam..respect for you,4
UgyVPSL58cv0yFM85jV4AaABAg,I tried ur all recipe s they came super..thank u so much ..I learnt many dishes from u..please finger papad ingredients and it making post ur coming video please,5
UgzwvPMnh53n2dpbviF4AaABAg,Very nice paratha,2
Ugxf8pa1tMaZANTBCTl4AaABAg,"Wahhhh aunty kya banaya Paratha tasty lajawaab...muh me Pani aa Gaya....kya bolu me...kash ye Paratha bahar aa Jata.,....me banaungi aaj hi...nahi Raha jayega....",5
Ugzqc9qk5E_kb9H949N4AaABAg,"I like all ur recipes  n m also trying at my home ðŸ‘ŒðŸ‘ŒðŸ‘ŒðŸ‘Œlove u 
Maam shahina frm New Zealand",4
UgweXPOYR_hl5jYuW0F4AaABAg,So tasty auntyðŸ˜˜,2
Ugye2opHND9COtpSdDl4AaABAg,"She is very talented
Thanks alot mam ðŸ˜˜ðŸ˜˜ðŸ˜˜ðŸ˜˜",5
Ugwi6AowOGF3-3GWTPB4AaABAg,Tadka lga kr BHI hum stuffing bna sacte h,7
Ugwq1G6ZQac98gbt_fR4AaABAg,Very nice mam bahut hi acche s bataya h aapne thanks,5
UgzfpYskJXbF4vnjkJl4AaABAg,"mam i like the way u cook, easy n great taste...",4
UgzSnjQZRs6nxiDPRwB4AaABAg,Mam.aap kon sa tail use krte hai pranthe banane ke  liye,7
UgzjRseyuYIwYDNkdO54AaABAg,"Kuch new racipe batoo na ðŸŒ¹ðŸŒ¹ðŸŒ¹ nisha ji i am big fan my ap ke raspice try karte bhoot accha banta samosa aloo ke takie &allmost cooking nisha ji,    imran khan my hasband ðŸŒ¹ðŸŒ¹  for city nagpur",4
UgxqC7TUWSCd-ciowuR4AaABAg,Alu hre haiðŸ˜‚ðŸ˜‚ðŸ˜‚,6
Ugw6XUBtf-e47DqT6WJ4AaABAg,Waoo mam Very teasty ðŸ‘ŒðŸ‘ŒðŸ‘Œme jarur try krungi.. Thanku mam,5
UgzB6yW_JTUpylsOYNh4AaABAg,Thnx for this all favourite recipe.,1
Ugyk2hx5voxYeNnJHgN4AaABAg,Nice,3
UgwwwszXnDaGEevjJM14AaABAg,Super madam watch smusic vaibhav be puja in Marathi,6
Ugxttffomfyi-u688Md4AaABAg,Super mam,3
UgyaIpmtgXCj8CbD3-x4AaABAg,Nisha ji ke raspice bhoot pasand aate hai i love cooking for Nisha ji  my name is mrs nusrath khan  from nagpur city,4
UgzwO78Ifbp4pZsX1Cl4AaABAg,You are so sweet,4
UgxCEw4rEFpME_ZRZPV4AaABAg,You have done the most difficult receipe in easy way awesome !!!ðŸ‘ðŸ‘ðŸ‘ðŸ‘,4
UgyNVbB449021SPsHjd4AaABAg,"Mam as usual vvv nicy recipe...
I love alu paratha.....",5
UgyK32jyq1HF4hccpVV4AaABAg,Ur explainations are so clear love ur videos Mam ðŸ¥°,4
Ugz5_9ylYbtluYjmwqd4AaABAg,I would say Thank you mam for all good cooking .,1
UgwYF8m-Un8MHEcGtwB4AaABAg,Whenever i want to cook something i only search your youtube channel because first reason your voice is very nice which dnt irritates me like others youtubers channels and second the way you teach your cooking it make me feel very easy to learn .,4
Ugy10KE3TacBzNuFA5R4AaABAg,ðŸ˜‹ðŸ˜‹ðŸ˜‹ðŸ˜‹ðŸ˜‹ðŸ˜ðŸ˜ðŸ˜ðŸ˜˜ðŸ˜˜aaloo pratha.......ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜,6
UgzpnjpLm5Mr9Hbrz9Z4AaABAg,Tasty,2
Ugy2LI9k8wCKHwOSctt4AaABAg,Theek h eshe hi banaugi  ðŸ‘ŒðŸ˜ŠðŸ˜Š,6
UgzXhhfaMm1IZwg_-xx4AaABAg,Good method thanks mam,5
UgwytG5rJjI9W8gRQD94AaABAg,Very very nice paratha,2
UgzbjlvLfF1ujDvzGQJ4AaABAg,please mam share some diet food receipes,6
Ugz1v83zJGwUdnFeZLt4AaABAg,Bahut Achhe bne mere prathe,2
UgxCSstVbROYkg-H1Qx4AaABAg,Hello mam love you so much â˜º,6
UgxeggAKKkEUM5i4BL54AaABAg,"wow very testy yummy yummy Thanku mam, i will try",5
UgymW1rbRpfItsl5j9l4AaABAg,"Thanks mam,u are so sweet & lovely.",5
Ugwd10LhMbd0iiTCrXV4AaABAg,Yummy paratha ðŸ˜‹ðŸ˜‹ðŸ˜‹,2
Ugx797YDaa708mjC0ex4AaABAg,Very nice,3
UgwXon5DwkTxwd2UkhJ4AaABAg,Super,3
Ugxn8tV7bwjmiZr3iM94AaABAg,I wanted to ask a question but always thought it was not appropriate but couldn't resist today. I want to ask whether do you use a dishwasher for cleaning your utensils? Coz most of them look new.,6
UgwZj-yMmtDA5IxEp414AaABAg,Aap k samjhane ka tarika bhut acha h,4
UgzJKnwHa9kNjm85XAd4AaABAg,Wah nisha aunty..love frm pakistan ðŸ˜˜,3
UgxWRBF95cue4xoSKTV4AaABAg,Very testiðŸ˜‹ðŸ˜‹ðŸ‘ŒðŸ‘ŒðŸ‘ŒðŸ‘Œ,2
UgyhwpGM83_i4i45pyp4AaABAg,Love u nd ur recipies aunty,2
UgxgMEZB73zbUUTLVLV4AaABAg,Very nice Aunty,3
UgzpEr115b4nInoQlkp4AaABAg,"Mam your recipes too good and cooking way is so easy.. Aapki help se m b kitchen me bahut Kuchh bnane lgi hu.. 
Thank you so much mam. I'm your biggest fan ðŸ˜ðŸ˜",5
UgzRWwZ_N_JLZjE9DS54AaABAg,This looks so yummy,2
UgykJgWCHQrzJxiU_Hl4AaABAg,Super super,3
Ugx57RBzJCNr_qJslOF4AaABAg,"excellent mam,,, thank you very much... ðŸ‘‰ðŸ‘ŒðŸ‘ŒðŸ‘ŒðŸ’ðŸ’ðŸŒ¹ðŸŒ¹ðŸŒ…",5
UgzwwIhDOQpeYkm13rt4AaABAg,Thank you mam for this nice recipe,5
Ugwe01wsS_cuZ-MYQzF4AaABAg,Ak to tumhari neck itni hil rahi hoti hai k mera dheyan tumhari neck p he hota hai,6
UgyIyLUlK61qnoObD-B4AaABAg,Kya him aate or sabhi aalo masalo koo mix kr skte h kya plz reply plzzzzzzzzzzzzzzzzzzzzzz,7
UgwasScHniorBw1BAZh4AaABAg,Bohat tasty Dikh rahahe.i mean fantastic.,2
Ugy7peWvk5ZJtMXb2Nd4AaABAg,she is so sweet ðŸ˜ðŸ’Ÿ,4
Ugy9eiLIRPMn7uA8nG94AaABAg,thnx mam..aap to reply karne me bhi bahut fast ho,5
UgxeTBivEQEZY5441Wx4AaABAg,kya mam garam masala use kar skte h????,7
UgxzCvK-D9dxy2B2I7d4AaABAg,"hiâ˜ºâ˜º
Kya hum all purpose flour use kar sakte hai????",7
Ugw3Yw72DMcXxdMYuzp4AaABAg,Wow soo taste....,2
UgwzecrDPWVRM4FjjHx4AaABAg,Nice,3
UgxHEndNIUijxpzpZBx4AaABAg,nice,3
UgxsXsRyQoEmauBJ5u54AaABAg,Madam u explain very softly and sweetly like ur paratha,4
Ugzq0tKR6lk6Df2wWph4AaABAg,"Hello mam aapka har recipe bahut testi hota h 
Apka har recipe follow krti hu
Mere husband toh bahut khush ho jaate h mere se so thank you mam",4
UgyD3jPD9yW7a623vnV4AaABAg,Super Auntie,3
UgydzTuDhmbDsjoCDlJ4AaABAg,nice,3
Ugw91pwV3wfGKt-BSp94AaABAg,Nice,3
UgyYopLDq45z7QoFUiB4AaABAg,Very well explained.I wish I can cook like her,4
UgwJHLzWFZQpiC86RER4AaABAg,M aapke  hr video  dekhti  hu aap bhut ache ho,4
UgwYeUwIQzmzjC5UgU14AaABAg,very very very tasty,2
UgwQZDi6c1RXwdFWBSZ4AaABAg,One like for this talented Anty ðŸ˜‰,4
UgxPCV4joG_ZkyJNgSN4AaABAg,Nice made AntyðŸ˜‰,4
Ugw-0R4tXqCzbU3BIwh4AaABAg,Buhat acha sikhati hayn,4
UgxMioVUCDaIXtm-cfF4AaABAg,bahut tasty bahut mast tha ghar me sbko bahut bahut pasand aaya bahut tasty tha ðŸ˜‹,2
Ugzk29F-fDkEHHpUC-l4AaABAg,Thanks aunty for this recepie â¤,1
Ugw2uYvw25QDHCgA7nJ4AaABAg,bahot bhadiya bana h mam,2
UgzWM_HD3kUI4B4P6QZ4AaABAg,Thank you,1
UgytCmHQ26laDAPvWLh4AaABAg,Waooo it's so yummy my mouth is watering ðŸ˜‹,2
UgzYNZ1tosctFo0g-rl4AaABAg,Aap mujhe bhot achi lagti hain bhot meetha bolti hain aap aur apki recipes jabse apka channel bana tabse dekhrahi hun or itna kuch seekha aapse God bless you.,4
Ugzdsd7xL4p2aKrCygh4AaABAg,maam so sweet,4
UgxHN6xlvF0h_778oWd4AaABAg,thanks mam,1
Ugwc0Fye1n8TR3V08kl4AaABAg,I lv ur smile nd voice mam. Lv u alot...,4
UgyzfUaOLO09f1kkA_Z4AaABAg,Mama mia,6
UgyQgCHATAyW3Anrgld4AaABAg,Super tq,1
UgzRRs1TFk5DCUSoW3x4AaABAg,"Aap etne acche kaise bol lete hain,     aap ki presentation se hamara dil paratha se vi bhar gaye hain unty, thank u .",4
UgyRkeYSrarb3f1EZtN4AaABAg,tnx nisha madulika,1
UgyrYDmYfFPSvti-n3d4AaABAg,m ne kal ye parata banaya ta to buht  hi yummy bana ta,2
UgzefJLbkONEfrJis154AaABAg,you are the best chef ðŸ˜ŠðŸ˜ŠðŸ˜ŠðŸ˜ŠðŸ˜ŠðŸ˜ŠðŸ˜ŠðŸ‘ŒðŸ‘ŒðŸ‘Œ,4
UgzKoKMChJ3HaWyMTrB4AaABAg,it was yummmmmmmmmmmmmmmmmmmmmmðŸ˜‹ðŸ˜‹ðŸ˜‹ðŸ˜‹ðŸ˜‹ðŸ˜‹ðŸ˜‹ðŸ˜™ðŸ˜šðŸ˜ðŸ˜˜ðŸ˜—ðŸ˜‡ðŸ¤—,4
UgwWIVGzZ9ZwHEvID0x4AaABAg,it was last modified to the method,6
Ugz9cVV6jSaGtBeCKlV4AaABAg,thank you one with English subtitles looks very nice.â˜º,1
UgyCWYZYt8Kk9UneXz14AaABAg,Hmmmm looks yummi,2
UgwQOKT9NN9p2mUWZj54AaABAg,Nice,3
UgwALHk87jLt91luATl4AaABAg,Can we grate the potatoes mam?,7
Ugye27u1WLFaRIkVj294AaABAg,Humain be bajie Nisha madhulika,6
UgzWh68f1bwdZg07ak14AaABAg,This is so tasty ðŸ‘ŒðŸ‘ŒðŸ™ðŸ™ðŸ‘ðŸ‘,2
UgyeOZ4IzcUZpr2HyBt4AaABAg,"Thanks a lot mam,ðŸ˜",1
UgybBIEeFqTDvTHRIKB4AaABAg,Thank u mam,1
UgwULYk44eD9K4UrCdt4AaABAg,Aapki btae recipes  simpal aur bohat jada testy hoti hai.,2
UgzejM7wCMpxhFrw5hF4AaABAg,Wow mam amazing yummy love from Kashmir â¤ï¸,5
Ugxp5tfAYFBgDS6VdRx4AaABAg,**Very Nice Mam**,3
